feature,mean_abs_shap,gain,shap_rank,gain_rank,avg_rank
total_rec_prncp,4.562387581820299,3.398088881414026,1.0,2.0,1.5
total_pymnt,2.5926467010845196,3.5146369689712755,4.0,1.0,2.5
last_pymnt_d,3.668150096281874,2.074762180807027,2.0,5.0,3.5
last_pymnt_amnt,3.3442350630072504,1.0996110898573306,3.0,10.0,6.5
max_bal_bc,0.302070328834368,2.4486672616196397,10.0,3.0,6.5
total_pymnt_inv,0.9600923642501481,1.298036626613784,5.0,8.0,6.5
total_bal_il,0.283260011467973,2.333108343564734,11.0,4.0,7.5
int_rate,0.6800246750189272,1.2005981986277523,8.0,9.0,8.5
bc_open_to_buy,0.2690061779565934,1.3407985315359943,12.0,7.0,9.5
open_act_il,0.1383857050299444,1.4204387720009426,13.0,6.0,9.5
sub_grade,0.5589506322044736,0.9722710860680218,9.0,11.0,10.0
last_fico_range_high,0.8581833324096111,0.44120235023111626,6.0,16.0,11.0
last_fico_range_low,0.8581833324096111,0.44120235023111626,6.0,16.0,11.0
issue_d,0.11886659357637977,0.6568698298182299,16.0,12.0,14.0
last_credit_pull_d,0.08610954099860632,0.469414177340265,17.0,15.0,16.0
open_il_24m,0.05211171179905081,0.5785585158489005,19.0,13.0,16.0
mths_since_rcnt_il,0.06047467354471744,0.5035601235755812,18.0,14.0,16.0
grade,0.13098908112042132,0.23193637659558616,15.0,20.0,17.5
il_util,0.04962759533924424,0.4344178704556305,20.0,18.0,19.0
emp_title,0.13595166759561303,0.06589495773124149,14.0,27.0,20.5
open_rv_12m,0.03147459387638332,0.25222465946205364,23.0,19.0,21.0
fico_range_high,0.0362331373829433,0.11274788847035686,21.0,23.0,22.0
fico_range_low,0.0362331373829433,0.11274788847035686,21.0,23.0,22.0
title,0.030038154416423248,0.13413380529713537,24.0,21.0,22.5
open_rv_24m,0.017718587843277282,0.12335746338549754,26.0,22.0,24.0
zip_code,0.025976400947597483,0.10753249866105848,25.0,25.0,25.0
all_util,0.013074482649129797,0.09836114758704807,27.0,26.0,26.5
inq_last_12m,0.006106434903960949,0.05625230526265944,28.0,28.0,28.0
open_acc_6m,0.003748620954696333,0.02416544710133222,29.0,29.0,29.0
