feature,iv,status
emp_title,11.202531533392033,ok
sub_grade,0.8718943532742444,ok
int_rate,0.8354612379562789,ok
grade,0.7978557480928887,ok
title,0.7238978565709928,ok
fico_range_high,0.2386987482067368,ok
fico_range_low,0.2386987482067368,ok
bc_open_to_buy,0.1257377204581291,ok
issue_d,0.1098941490329865,ok
all_util,0.08464619367008648,ok
open_rv_24m,0.0708745474674784,ok
max_bal_bc,0.06663356701325691,ok
mths_since_rcnt_il,0.06416066100379882,ok
il_util,0.054899478457165744,ok
open_acc_6m,0.05187539651993257,ok
inq_last_12m,0.049275841668997664,ok
total_bal_il,0.04867465842649181,ok
open_il_24m,0.03875845214230159,ok
open_rv_12m,0.03564680632807708,ok
open_act_il,0.033404090191518784,ok
open_il_12m,0.01059187780410932,ok
inq_fi,0.007987558106409264,ok
total_cu_tl,0.007907531780365594,ok
