feature,mean_abs_shap
emp_title,0.46149817554371403
sub_grade,0.30675869614586004
issue_d,0.1759803044861586
int_rate,0.15051991026530773
total_bal_il,0.06755935540820977
open_rv_24m,0.0649624209741006
grade,0.05731079010089814
title,0.056123251132870734
fico_range_low,0.04198573756672616
fico_range_high,0.04198573756672616
open_il_24m,0.03845965296200028
max_bal_bc,0.026739324087804096
inq_last_12m,0.02341349835273339
mths_since_rcnt_il,0.01916944865864316
all_util,0.012787154076274208
open_act_il,0.012334878623310995
open_rv_12m,0.010089139700138994
il_util,0.006261263084705116
open_acc_6m,0.0038059898116469624
bc_open_to_buy,0.0006720296854312825
