feature,gain
issue_d,0.9376199555775877
emp_title_te_mean,0.6129095669540923
total_bal_il,0.5464568570836681
open_rv_24m,0.45860561783492493
title_te_count,0.44915091304797977
open_il_24m,0.3432479325077507
fico_range_low,0.268765726112347
int_rate,0.26069403464698937
sub_grade_te_std,0.21766949680937653
title_te_skew,0.21618758722348574
title_te_std,0.2114424449216037
inq_last_12m,0.19932774475278114
sub_grade_te_skew,0.18737084336667156
emp_title_te_std,0.1809518797194036
sub_grade_te_mean,0.17993452160189105
max_bal_bc,0.16355170864585544
title_te_mean,0.15406966177299114
open_rv_12m,0.1148620926790142
grade_te_skew,0.09690442526111465
mths_since_rcnt_il,0.08172359231464751
emp_title_te_skew,0.07601413767656615
open_act_il,0.06304292325612229
all_util,0.0458591953179045
grade_te_count,0.033271869217550716
sub_grade_te_count,0.03237973510864478
il_util,0.031803188438538244
bc_open_to_buy,0.020733407133302115
open_acc_6m,0.012677400874016434
fico_range_high,2.9357398924412965e-06
grade_te_std,0.0
grade_te_mean,0.0
